date,channel,traffic,conversion_rate,signups
2026-01-01,organic,4287.0,0.048,186.0
2026-01-01,paid,2768.0,0.0621,182.0
2026-01-01,referral,966.0,0.0921,92.0
2026-01-02,organic,3632.0,0.0444,162.0
2026-01-02,paid,2381.0,0.0586,141.0
2026-01-02,referral,855.0,0.088,75.0
2026-01-03,organic,2010.0,0.0382,64.0
2026-01-03,paid,1519.0,0.061,85.0
2026-01-03,referral,528.0,0.1047,48.0
2026-01-04,organic,2222.0,0.0454,94.0
2026-01-04,paid,1367.0,0.0605,86.0
2026-01-04,referral,513.0,0.0964,57.0
2026-01-05,organic,4384.0,0.0432,171.0
2026-01-05,paid,2769.0,0.0599,177.0
2026-01-05,referral,948.0,0.092,92.0
2026-01-06,organic,4381.0,0.0477,250.0
2026-01-06,paid,2898.0,0.0586,171.0
2026-01-06,referral,987.0,0.0965,78.0
2026-01-07,organic,4291.0,0.0434,177.0
2026-01-07,paid,2436.0,0.0543,117.0
2026-01-07,referral,935.0,0.09,83.0
2026-01-08,organic,4421.0,0.0459,196.0
2026-01-08,paid,2791.0,0.0492,123.0
2026-01-08,referral,864.0,0.0924,79.0
2026-01-09,organic,3771.0,0.0474,178.0
2026-01-09,paid,2250.0,0.0527,121.0
2026-01-09,referral,820.0,0.091,72.0
2026-01-10,organic,2297.0,0.0467,111.0
2026-01-10,paid,1637.0,0.0527,90.0
2026-01-10,referral,623.0,0.0828,53.0
2026-01-11,organic,2089.0,0.0432,73.0
2026-01-11,paid,1376.0,0.0546,86.0
2026-01-11,referral,493.0,0.0896,52.0
2026-01-12,organic,4142.0,0.0465,173.0
2026-01-12,paid,2756.0,0.0572,170.0
2026-01-12,referral,1066.0,0.0835,97.0
2026-01-13,organic,4015.0,0.0456,211.0
2026-01-13,paid,2846.0,0.0589,170.0
2026-01-13,referral,1013.0,0.0948,96.0
2026-01-14,organic,4301.0,0.0454,215.0
2026-01-14,paid,2429.0,0.064,149.0
2026-01-14,referral,1009.0,0.0995,93.0
2026-01-15,organic,4211.0,0.0482,206.0
2026-01-15,paid,2639.0,0.0525,140.0
2026-01-15,referral,1015.0,0.0969,110.0
